@relation metrics+reasoning_time

@attribute ontology string
@attribute SOV numeric
@attribute ENR numeric
@attribute EOG numeric
@attribute RCH numeric
@attribute CYC numeric
@attribute ESUB numeric
@attribute SUPECHN numeric
@attribute ELCLSPRT numeric
@attribute ELAXPRT numeric
@attribute HLC numeric
@attribute RHLC numeric
@attribute IHR numeric
@attribute IND numeric
@attribute aNOC numeric
@attribute tNOC numeric
@attribute aCID numeric
@attribute mCID numeric
@attribute aCOD numeric
@attribute tCOD numeric
@attribute aNOP numeric
@attribute CONJP numeric
@attribute UFP numeric
@attribute EF numeric
@attribute EFP numeric
@attribute OBPP numeric
@attribute DTPP numeric
@attribute FUNP numeric
@attribute CHNP numeric
@attribute ELPROP numeric
@attribute reasoning_time numeric

@data
ore_ont_1028.owl,0.520444,0.175968,0.48687,0.485306,0.677538,0.439575,0.652002,0.997964,0.987727,0.640259,0.487376,0.500015,0,0.252894,0.662527,0.123671,0.452921,0.214576,0.66191,0.158893,0.4248,0,0.641371,0.5714,1,0,0,0.415842,0.910714,8.182187
ore_ont_13460.owl,0.409096,0.05346,0.195042,0.159229,0.522709,0.206563,0.506028,1,1,0.437009,0.03786,0,0.665243,0.263541,0.561058,0.201566,0.61654,0.13258,0.511951,0.134133,0,0,0.474088,1,1,0,0,0,1,5.698211
ore_ont_14294.owl,0.482744,0.077987,0.393945,0.15052,0.528727,0.024319,0.176717,0.860454,0.841851,0.383672,0.029505,0.426609,0.522783,0.192174,0.55023,0.082824,0.311171,0.085232,0.514867,0.064646,0,0.4861,0.34893,0.1571,0.9406,0.0594,0,0,0.840517,5.782799
ore_ont_2713.owl,0.237804,0.05501,0.353125,0.244103,0.323581,0.308176,0,1,1,0,0,0,0,0.155567,0.385042,0.042772,0.220726,0.091955,0.352491,0.073215,0,0,0.359957,1,1,0,0,0,0,4.473542
ore_ont_191.owl,0.597805,0.050925,0.184846,0.247001,0.664777,0.206201,0.613004,1,0.999907,0.56375,0.030328,0.515893,0.835691,0.255436,0.69341,0.224749,0.790639,0.141528,0.668647,0.134978,0,0,0.667332,1,1,0,0,0,1,8.342284
ore_ont_14183.owl,0.483768,0.07299,0.379295,0.150162,0.522602,0.027085,0.251857,0.863393,0.846037,0.363957,0.022551,0.324513,0.529332,0.194628,0.557355,0.083664,0.30936,0.088344,0.522946,0.068044,0,0.5051,0.36306,0.1729,0.9139,0.0861,0,0,0.773305,5.912602
ore_ont_2876.owl,0.086173,0.049734,0.372435,0.059724,0.196682,0.053763,0,1,1,0,0,0,0,0.19975,0.303435,0.052282,0.112993,0.060913,0.22085,0.061376,0,0,0.140357,1,1,0,0,0,0,4.382027
ore_ont_257.owl,0.544446,0.196022,0.378171,0.133152,0.664384,0,0,0.87032,0.868757,0.088773,0.000096,0.13953,0.573559,0.19451,0.449467,0.264846,0.409214,0.136044,0.420805,0.05395,0.0481,0,0.162892,0.0673,0.5122,0.4878,0.122,0,0.985294,6.35842
ore_ont_11349.owl,0.38349,0.034367,0.171028,0.032727,0.3747,0.056262,0.282547,1,1,0.304403,0.010613,0,0.604428,0.202672,0.50913,0.148864,0.559832,0.04545,0.444476,0.047247,0,0,0.320729,1,1,0,0,0,1,5.218552
ore_ont_3077.owl,0.526087,0.154192,0.499505,0.157278,0.634073,0.040862,0.469786,0.890918,0.933401,0.449834,0.029516,0.475349,0.528464,0.25286,0.613717,0.14167,0.503462,0.194647,0.599683,0.121987,0.0071,0.0692,0.461086,0.3656,0.9118,0.0882,0.0252,0,0.916843,9.131369
ore_ont_7169.owl,0.347144,0.028679,0.250846,0,0,0,0,1,1,0,0,0,0,0.191773,0.477209,0.043739,0.195446,0.025144,0.404027,0.028832,0,0,0,0,0,0,0,0,0,4.697445
ore_ont_16723.owl,0.138722,0.085661,0.40915,0.178495,0.310874,0,0,0.79995,0.888889,0.070351,0.003912,0.207408,0.300214,0.143573,0.241164,0.157219,0.187677,0.07312,0.18855,0.041293,0,0.4444,0,0,0.6923,0.3077,0.7436,0,0.983051,4.418841
ore_ont_5764.owl,0.347529,0.074192,0.399951,0.085983,0.428732,0.006843,0,0.955044,0.977591,0.191836,0.005802,0.256901,0.373368,0.198291,0.462935,0.085589,0.292083,0.073799,0.407853,0.050223,0.2875,0,0.23467,0.2375,0.9048,0.0952,0,0,0.993333,5.234667
ore_ont_10823.owl,0.14437,0.109153,0.249975,0,0.328643,0,0,1,0,0,0,0,0.081227,0,0,0.107679,0.294316,0.023317,0.19059,0.026737,0,0,0,0,1,0,0,0,1,4.770685
ore_ont_6566.owl,0.371283,0.123006,0.449595,0.268828,0.516241,0.425062,0.475321,1,0.849667,0,0,0,0,0.229748,0.530354,0.093857,0.462417,0.146237,0.498244,0.109791,0,0,0.495276,1,1,0,0,0,0,4.992698
ore_ont_3238.owl,0.576177,0.028734,0.000888,0.00008,0,1,0,1,1,0,0,0,0,0.191959,0.633056,0.043847,0.716085,0.025259,0.580068,0.028951,0,0,0.054297,1,1,0,0,0.212121,0.777778,6.34388
ore_ont_4233.owl,0.682624,0.028767,0.045485,0,0,0,0,1,1,0,0,0,0.887641,0.191973,0.705521,0.216985,0.884791,0.025255,0.661933,0.028959,0,0,0,0,0,0,0,0,0,8.766342
ore_ont_4652.owl,0.393239,0.129631,0.290201,0.563353,0.567018,0,0,1,1,0,0,0,0,0,0,0.053714,0.431851,0.155587,0.55351,0.028925,0.5521,0,0.543887,0.4479,1,0,0,0,0,5.087596
ore_ont_1840.owl,0.552719,0.030271,0.03745,0.000613,0.49185,0.000591,0,1,0.999831,0.13316,0.00003,0,0.857129,0.212082,0.626443,0.325268,0.854765,0.046603,0.572719,0.053319,0,0,0.152432,1,1,0,0,0.972222,1,8.372399
ore_ont_15526.owl,0.372723,0.09213,0.417013,0.285163,0.487745,0.164338,0.446347,0.922157,0.896913,0.428776,0.17709,0.405139,0,0.179569,0.500235,0.071181,0.339613,0.106635,0.474548,0.059205,0.1447,0.0526,0.455448,0.6278,0.9952,0.0048,0.067,0.011164,0.701149,6.202536
ore_ont_15985.owl,0.340838,0.04708,0.331473,0.015676,0.355238,0.028384,0.092829,1,1,0,0,0,0,0.210519,0.482619,0.055114,0.228494,0.048809,0.412084,0.053671,0,0,0.230652,1,1,0,0,0,0,4.666579
ore_ont_1082.owl,0.607252,0.171759,0.487202,0.418285,0.726271,0.395207,0.706315,1,1,0.416608,0.006771,0.386209,0,0.277537,0.723665,0.119655,0.5038,0.209519,0.718303,0.186272,0.381,0,0.696384,0.619,1,0,0,0.157051,1,7.46699
ore_ont_3411.owl,0.229965,0.146064,0.427609,0.459012,0.434472,0.010638,0,0.837776,0.641618,0.16425,0.008752,0.276929,0.406743,0.095263,0.304141,0.163034,0.33834,0.20133,0.348998,0.038986,0.54,0.05,0.212134,0.14,0.6667,0.3333,0.7778,0,1,5.049856
ore_ont_928.owl,0.519607,0.051941,0.203242,0.225857,0.496946,0.246748,0.440653,1,1,0.343618,0.013479,0.392488,0.636426,0.208566,0.525551,0.176989,0.577381,0.114545,0.490734,0.090379,0.438,0,0.441957,0.562,1,0,0,0.295556,1,5.432265
ore_ont_3128.owl,0.184785,0.123783,0.294757,0.555357,0.418253,0,0,1,1,0,0,0,0,0,0,0.04976,0.251942,0.150312,0.38806,0.028626,0.5211,0,0.378848,0.4789,1,0,0,0,0,4.426841
ore_ont_13122.owl,0.516433,0.144863,0.491759,0.410066,0.646361,0.62738,0.610221,1,1,0.594987,0.323921,0,0,0.251598,0.65168,0.098925,0.317211,0.173756,0.635511,0.157841,0,0,0.659907,1,1,0,0,0,0,6.31113
ore_ont_9413.owl,0.762104,0.151526,0.350588,0.159019,0.794804,0.460301,0.638101,1,1,0.674553,0.098885,0.706286,0,0.296299,0.813905,0.108871,0.801424,0.182324,0.802546,0.19428,0.0192,0,0.754293,0.9808,1,0,0,0.244186,1,8.719317
ore_ont_10320.owl,0.265694,0.081084,0.41397,0.123158,0.38362,0.005618,0,0.87052,0.81864,0,0,0,0.343389,0.187809,0.392558,0.082855,0.237819,0.075935,0.334943,0.057624,0,0.6047,0.086059,0.0465,0.6857,0.3143,0,0,0.870968,4.621699
ore_ont_4655.owl,0.468287,0.056902,0.328685,0.270174,0.490697,0.961608,0.557105,1,1,0,0,0,0,0.155052,0.560349,0.044416,0.257318,0.061297,0.537274,0.030181,0,0,0.573347,1,1,0,0,0,0,5.455321
ore_ont_5550.owl,0.517938,0.052042,0.201826,0.226636,0.496077,0.248077,0.426541,1,1,0.103063,0.000258,0.107993,0.635255,0.208284,0.525192,0.17603,0.577381,0.11481,0.490583,0.090572,0.438,0,0.441957,0.562,1,0,0,0.188172,1,5.433722
ore_ont_33.owl,0.552947,0.062456,0.382963,0.000305,0.541376,0,0,0.999664,0.999707,0,0,0,0,0.233022,0.635842,0.066456,0.23329,0.068345,0.583237,0.078328,0,0,0,0,0,0,0,0,0,6.14347
ore_ont_8377.owl,0.541255,0.033742,0.114182,0,0.508255,0,0,1,1,0,0,0,0.776308,0.220805,0.622572,0.215801,0.727721,0.055543,0.568246,0.06369,0,0,0,0,1,0,0,0,1,7.145722
ore_ont_6024.owl,0.219195,0.032368,0.230515,0,0.165986,0,0,1,1,0,0,0,0,0.209763,0.304141,0.188932,0.199069,0.04552,0.209218,0.052196,0,0,0,0,0.9731,0.0269,0,0,1,4.458216
ore_ont_5696.owl,0.120304,0.126768,0.296207,0,0.328154,0,0,1,0.472868,0,0,0,0,0.188647,0.321393,0.108877,0.17909,0.150602,0.28469,0.027629,0,0,0,0,0,0,0,0,0,4.377851
ore_ont_11495.owl,0.680773,0.134766,0.447293,0.344572,0.742551,0.204605,0.682294,1,0.999456,0.643277,0.150623,0.600968,0,0.226086,0.746302,0.09855,0.654004,0.160879,0.74963,0.114993,0.4149,0,0.727756,0.5851,1,0,0.04,0.373333,0.931034,8.301108
ore_ont_9994.owl,0.129944,0.066334,0.348619,0.30765,0.27237,0.258065,0.107771,0.884416,1,0,0,0,0.279789,0.155968,0.231467,0.167874,0.223398,0.102508,0.182078,0.056231,0,0,0.172119,0.6667,0.4286,0.5714,0.6429,0,0.983607,4.414816
ore_ont_6333.owl,0.089428,0.164701,0.399791,0.730716,0.409115,0.017241,0.046415,0.918056,0.558659,0.088773,0.00752,0.268891,0,0.054081,0.272328,0.101253,0.246186,0.199641,0.360524,0.028963,0.4866,0.016,0.341281,0.4118,1,0,0,0,0.740741,5.213123
ore_ont_954.owl,0.727529,0.155785,0.46941,0.342852,0.794932,0.397358,0.775609,1,1,0.61368,0.046668,0.646009,0,0.282544,0.80051,0.113235,0.64441,0.188027,0.795275,0.177449,0.1479,0,0.793741,0.8521,1,0,0,0.420601,1,8.669399
ore_ont_13298.owl,0.301647,0.11846,0.448551,0.356808,0.471853,0.694926,0.484752,1,1,0.38005,0.124789,0,0,0.230532,0.490964,0.086062,0.27013,0.140937,0.45129,0.121341,0,0,0.47089,1,1,0,0,0,1,4.724434
ore_ont_3292.owl,0.2058,0.112578,0.227972,0,0.373714,0,0,1,0,0,0,0,0.102497,0,0,0.107777,0.347439,0.024242,0.239288,0.027797,0,0,0,0,1,0,0,0,1,4.438722
ore_ont_15063.owl,0.396098,0.293891,0.43322,0.568077,0.615616,0,0,0.697177,0.60274,0,0,0.522781,0.545761,0.077639,0.299784,0.398364,0.522542,0.142962,0.340248,0.028351,0.4082,0,0.269,0.2041,0.2292,0.7708,0.625,0,0.973154,6.052089
ore_ont_4388.owl,0.267798,0.064688,0.353992,0.098016,0.358746,0.126783,0.073565,1,1,0,0,0,0,0.193988,0.430704,0.056999,0.195446,0.071338,0.372623,0.057414,0.3966,0,0.280714,0.6034,1,0,0,0.583333,1,4.51086
ore_ont_10949.owl,0.573199,0.109312,0.171677,0.171032,0.622237,0,0,0.811839,0.770335,0.159125,0.000382,0,0.677085,0.121757,0.47016,0.243285,0.689619,0.378228,0.572725,0.029286,0,0,0,0,0.7439,0.2561,0.7507,0,0.964649,7.830558
ore_ont_14425.owl,0.567862,0.200286,0.497305,0.321343,0.706318,0.682698,0.598225,1,1,0,0,0,0,0.358494,0.716805,0.147752,0.607377,0.244786,0.690364,0.255894,0.0004,0,0.671593,0.9996,1,0,0,0,0,6.97697
ore_ont_1066.owl,0.579037,0.167462,0.490128,0.450468,0.707776,0.413993,0.686036,0.992721,0.993324,0.674696,0.501088,0.653506,0.272742,0.253097,0.698097,0.118811,0.498848,0.203905,0.698231,0.155595,0.3702,0,0.682935,0.6151,1,0,0,0.321101,0.878125,13.415004
ore_ont_894.owl,0.38555,0.060187,0.307694,0.044581,0.42538,0.131175,0.503206,1,1,0.3117,0.028357,0,0,0.218365,0.518386,0.061283,0.374535,0.065695,0.45648,0.069132,0,0,0.347086,1,1,0,0,0,1,4.902803
ore_ont_3733.owl,0.755355,0.069867,0.346377,0.141562,0.730745,0.345957,0.746746,0.999975,0.999518,0.670236,0.105007,0.702293,0.797056,0.23376,0.783451,0.104537,0.819159,0.101487,0.764203,0.097999,0.0158,0,0.738529,0.9841,0.875,0.125,0.0312,0,1,8.920255
ore_ont_14353.owl,0.272704,0.218238,0.56131,0.391495,0.498536,1,0.107771,1,1,0.31957,0.035212,0.334857,0.431404,0.154196,0.333298,0.143764,0.337046,0.152672,0.319321,0.132487,0,0,0.337157,1,1,0,0,0,1,4.682131
