name,metrics
ore_ont_8329.owl,0.4204630.2022680.4243550.2728940.6028160.7480580.5510821.01.00.4943060.1156740.00.00.3682690.6154210.1509880.5581620.2474140.5730610.2629680.00.00.5361861.01.00.00.00.01.0
ore_ont_6934.owl,0.3147410.1895480.5560340.5993320.517030.2345130.2038670.7186650.3194710.3540850.0453650.4758540.4643490.1405170.3623180.1829840.2964890.2506870.3963330.0748080.26150.18970.3257850.32310.62670.37330.00.00.836879
ore_ont_10175.owl,0.6834140.1457380.4517490.3699940.7551250.1948130.6829251.01.00.00.00.00.00.2354650.7545620.1055040.669140.1749050.7596950.127860.43240.00.7359470.56761.00.00.00.01.0
ore_ont_1833.owl,0.607830.1485020.4167540.4775250.6773590.00.00.4734490.5386740.0443871.2E-50.00.6802650.1923740.3936720.4612230.6145280.1445660.3621990.097850.00.04880.00.00.56940.43060.00.01.0
ore_ont_9513.owl,0.6403310.0290520.2134930.00.2778040.00.01.01.00.00.00.00.00.1600540.6603540.0262850.3902150.0256220.6296180.029380.00.00.00.00.00.00.00.00.0
ore_ont_580.owl,0.078130.0392050.275450.0437970.146770.00.00.9229440.80.00.00.00.2094770.0426970.107490.1526510.179090.0312440.1106490.0219550.00.00.00.01.00.00.00.01.0
ore_ont_9894.owl,0.6544990.1545850.276380.0739370.7176360.477020.47081.00.9999190.6585570.2438930.6431830.00.3020370.7366750.108710.7247670.1863480.7143910.2054530.09970.00.5945870.90031.00.00.00.00.772727
ore_ont_13679.owl,0.4789610.0788010.3954230.1550810.5274720.0257560.1767170.8569360.8385950.3802190.0288740.4251990.5226570.1919910.5463980.084320.3111710.0867990.5113220.0655080.00.47630.348930.16130.9410.0590.00.00.837877
ore_ont_14425.owl,0.5678620.2002860.4973050.3213430.7063180.6826980.5982251.01.00.00.00.00.00.3584940.7168050.1477520.6073770.2447860.6903640.2558944.0E-40.00.6715930.99961.00.00.00.00.0
ore_ont_3550.owl,0.4309130.0682390.3807550.1638680.4810720.4753320.5476021.01.00.00.00.00.00.2013310.550.0600730.3408670.0758380.505540.0644170.00.00.4944271.01.00.00.00.01.0
ore_ont_10270.owl,0.4818660.0788690.3949690.1562960.5296230.0333330.1935450.8635830.8457420.3817220.0288190.4244830.5224680.1910280.5491090.0833690.3111710.0872950.5151270.0653340.00.46320.3723710.20650.93940.06060.00.00.845152
ore_ont_13078.owl,0.4741830.1206630.3353230.3829010.5778340.4942070.5288191.00.9997370.4633440.0774270.00.5848260.2268360.5504940.165830.5882140.1428970.5211170.1205869.0E-40.00.5479390.99911.00.00.00.01.0
ore_ont_2253.owl,0.763260.1356620.3435710.9179580.8370311.00.7445041.01.00.00.00.00.8220470.1157710.7575750.1164840.7374150.2039840.8452460.0916250.47460.00.8789280.52541.00.00.00.00.0
ore_ont_11298.owl,0.4599280.0661580.3676010.2013090.4997510.397930.5540331.01.00.00.00.00.00.1886130.5665440.0561020.3663130.0731820.5298970.0557310.00.00.5370161.01.00.00.00.00.0
ore_ont_4903.owl,0.4044640.1278190.4517250.4161240.5525890.192580.4410230.9397150.7848560.4407930.1553880.45370.4168790.1516090.5159540.0831070.3056120.1399570.5227370.0557140.40490.01220.502010.49270.95330.04670.08410.00.685315
ore_ont_10949.owl,0.5731990.1093120.1716770.1710320.6222370.00.00.8118390.7703350.1591253.82E-40.00.6770850.1217570.470160.2432850.6896190.3782280.5727250.0292860.00.00.00.00.74390.25610.75070.00.964649
ore_ont_15796.owl,0.4780890.081780.4039940.15610.531170.0258670.1767170.8559310.8371670.379710.0281290.4251990.5226570.1921090.5453810.0846970.3111710.0869970.5101950.0656880.00.46930.3480130.16090.940.060.00.00.83913
ore_ont_3274.owl,0.7857550.1515520.3115370.1618930.8111210.5075530.6973741.00.999980.7426830.2207220.7316010.00.2990110.8312110.1107450.8321220.1823420.8209830.1933660.02450.00.7743990.97551.00.00.00.00.772727
ore_ont_3780.owl,0.2815350.0308510.2855470.0016170.1713330.0015170.01.01.00.00.00.00.00.1939020.4335990.0450270.2090620.0281470.3551510.0320220.00.00.0542971.01.00.00.00.00.0
ore_ont_9054.owl,0.2157190.1515590.5065430.4323050.4466840.1884980.2128090.8138080.7847770.2542440.0620120.232550.00.1392850.3839870.1133140.1990690.2060780.4063110.0540530.28930.00.3674950.54820.63460.36540.17310.2243590.983871
ore_ont_9768.owl,0.7625510.1304040.3490470.9182580.832321.00.744091.01.00.00.00.00.8215890.0961960.7421480.1115950.6634110.1958040.84170.0769710.47530.00.87820.52471.00.00.00.00.0
ore_ont_8399.owl,0.3265790.2163890.48370.0483130.5304370.0039060.00.9482460.640940.0703516.97E-40.00.411420.1855510.4438080.0958190.2686340.1293030.4166460.0304080.00.00.0542970.0271.00.00.00.00.0
ore_ont_934.owl,0.2307270.138820.5047910.5082960.4308770.1902170.2998110.6565180.3930640.2881520.0505570.2860250.3694750.1724630.3486540.1622030.2151020.2034370.3442920.0836070.05830.44660.2785070.33010.69510.30490.28050.00.877005
ore_ont_16054.owl,0.1976420.0502490.208370.2156960.3596720.00.01.01.00.00.00.00.4891670.1633410.3760940.16960.4159240.1047580.3429680.0332650.97180.00.0860590.02821.00.00.00.00.0
ore_ont_8744.owl,0.3838630.0429830.1748580.0773910.4332610.1499110.4846081.01.00.303290.0109510.00.5938350.2099060.5154810.1400150.5463580.0700070.4594470.0696030.00.00.3909241.01.00.00.00.01.0
ore_ont_11053.owl,0.6953250.1333560.3656650.9411480.7930781.00.7005541.01.00.00.00.00.7733410.0930860.6987270.1104970.5775520.198840.7966580.081070.44930.00.8360320.55071.00.00.00.00.0
ore_ont_16501.owl,0.1646790.1490660.2635870.5269190.4213670.6496350.393021.01.00.376390.3336240.3430130.00.2434980.4213010.1010190.3724510.1804790.3813810.1540880.00.00.4134591.01.00.00.00.01.0
ore_ont_15231.owl,0.1347680.0749710.2761490.5065260.3951890.6346670.3652991.01.00.319570.0825730.00.4649010.2376830.3960220.176860.4045080.1741780.3531940.147870.00.00.383671.01.00.00.00.01.0
ore_ont_6951.owl,0.3160230.065580.3350710.6032610.3912970.00.00.3308270.3846150.00.00.00.4119840.1931930.3180530.1969590.3513610.110030.2623040.1174080.00.00.00.00.43160.56840.77890.01.0
ore_ont_2700.owl,0.4847810.0730530.3799190.150380.5233460.0269890.2518570.863050.8454550.3650370.0226560.3271240.5313730.1946180.5575920.0840890.309360.0881670.5231430.0679470.00.50250.363060.1720.91520.08480.00.00.77521
ore_ont_9835.owl,0.7006530.1525980.4360840.5007680.7867360.2348280.7128710.9997910.999860.6269270.0807810.622920.00.2038140.7662140.104490.664310.1841360.7920270.1120860.42620.00.7904950.57341.00.00.00.00.980263
ore_ont_16626.owl,0.2048170.0371420.2903910.0315340.2122870.0580650.2835241.01.00.00.00.00.00.1965690.3833460.0486110.1916540.0389610.3023910.0398780.00.00.1803721.01.00.00.00.01.0
ore_ont_6696.owl,0.3124570.1203410.2666690.4297540.4881940.00.01.01.00.00.00.00.1624550.00.00.0443690.2623620.1430270.4685980.0288520.72460.00.4018490.27541.00.00.00.00.0
ore_ont_5696.owl,0.1203040.1267680.2962070.00.3281540.00.01.00.4728680.00.00.00.00.1886470.3213930.1088770.179090.1506020.284690.0276290.00.00.00.00.00.00.00.00.0
ore_ont_9994.owl,0.1299440.0663340.3486190.307650.272370.2580650.1077710.8844161.00.00.00.00.2797890.1559680.2314670.1678740.2233980.1025080.1820780.0562310.00.00.1721190.66670.42860.57140.64290.00.983607
ore_ont_8347.owl,0.591640.0302890.225092.06E-40.3568560.00.00.9997740.9996760.00.00.00.0512490.1636680.6292090.0282950.3172110.0272030.5930230.0311610.00.00.00.00.00.00.00.00.0
ore_ont_10805.owl,0.1918010.1118930.2427840.00.3635410.00.01.00.00.00.00.00.1324760.00.00.1093330.3350660.0240760.2279190.0276080.00.00.00.01.00.00.00.01.0
ore_ont_8355.owl,0.1947650.1994690.544930.4364890.438921.00.0735651.01.00.2942550.0585690.3083310.3581610.1674630.3068960.1384610.2897860.1635360.2852660.1415690.00.00.3064471.01.00.00.00.01.0
ore_ont_11719.owl,0.3310510.0670330.3849430.1067010.4067340.0581580.1897181.01.00.00.00.00.00.1972850.4756630.0610710.1954460.0750430.4233330.0566790.47930.00.3257850.52071.00.00.00.00.0
ore_ont_7894.owl,0.1902850.047920.2264660.1581980.3402510.2744570.0928291.01.00.00.00.00.475390.2222380.3947660.165810.412120.0956130.3281070.0893740.00.00.2999151.01.00.00.00.00.0
ore_ont_6862.owl,0.5472850.0637380.3861160.00.5401540.00.01.01.00.00.00.00.00.2346560.6326620.0673370.242110.0699860.5796110.0802510.00.00.00.00.00.00.00.00.0
ore_ont_3503.owl,0.3609660.0864240.4138210.1839290.4603450.0037740.00.8019050.7430240.3102050.0307040.3096730.3569880.1901290.4801960.0718280.2461860.0979250.4423230.0751730.00.46810.1403570.02130.80120.19880.00.00.834906
ore_ont_12012.owl,0.6902180.1375540.4842030.2143590.739830.4583570.6826520.9723190.9611520.00.00.00.00.2870270.7657070.1071790.6004440.1644380.7453250.1664590.00.11740.7169160.88261.00.00.00.01.0
ore_ont_795.owl,0.7020050.1514350.4645170.3259530.7676850.2307270.6933471.01.00.6212030.0790910.660690.00.2603540.7731850.1058960.7256030.1821740.7719450.1627180.43250.00.7359470.56751.00.00.00.2692311.0
ore_ont_7234.owl,0.5226160.1490760.4902380.2657970.6386720.4714950.6459591.00.9968230.4840540.0515270.2850730.00.294110.6584820.1131230.3616270.1795960.6268480.1796020.00.00.6147211.01.00.00.00.01.0
ore_ont_6504.owl,0.4841520.0737980.3817920.1527440.5242650.0270850.2518570.8605590.8434310.3658880.0229230.3286440.5293320.1946610.5573550.0836160.309360.0883570.5229340.0680530.00.49670.363060.170.91120.08880.00.00.770878
ore_ont_9904.owl,0.1024040.1376510.4510640.4966910.3525660.2876710.1471310.6789320.595960.2729670.1469340.1817090.0512490.1631460.2874570.1336360.1834960.1492730.2603340.0797520.00.37210.2306520.41860.98080.01920.00.00.793103
ore_ont_8492.owl,0.5099090.1124850.2964460.4295650.6155760.579260.579851.01.00.00.00.00.00.2022640.6279370.0769060.5079890.1324180.6169220.1011480.00.00.6607111.01.00.00.00.00.0
ore_ont_10016.owl,0.7795620.1542860.2606770.0856090.8033210.6930380.8015030.9999690.9999840.00.00.00.00.3284650.8319980.1227040.7312380.1858050.8112960.2051680.00.00.7150420.99971.00.00.00.00.0
ore_ont_14388.owl,0.2644460.1006780.4122120.2591340.4246890.2851560.01.01.00.2505120.0282390.3260920.3648370.1761590.3706080.104420.3111710.0920440.3237560.0712380.00.00.3350111.01.00.00.00.00.790087
ore_ont_8250.owl,0.2585270.1877430.5421210.4862540.4900470.011050.00.5098490.4495110.197940.0090520.186040.3063280.2013720.420690.16120.2590340.2557990.4278890.10870.04260.56170.1878380.04260.4270.5730.74160.0196630.947674
ore_ont_16730.owl,0.2583370.040620.3355080.00.2688840.00.01.01.00.00.00.00.00.2061980.4235730.0516770.2058650.0404170.34350.0463450.00.00.00.00.00.00.00.00.0
ore_ont_3515.owl,0.3573410.082850.380240.1419750.4525790.0142680.01.00.9678280.0703515.52E-40.3538170.00.1918190.4932810.0723710.3172110.0954520.4551320.050620.88530.00.2552220.11471.00.00.00.01.0
ore_ont_8387.owl,0.2822860.159910.3719850.4590120.4732660.0106380.00.8377760.6416180.164250.0041170.4278760.4618140.0952630.3041410.1995530.4105480.201330.3489980.0389860.540.050.2121340.140.66670.33330.77780.01.0
ore_ont_8068.owl,0.6417720.0422730.1315680.1783190.6702710.155270.6130041.00.999930.5637790.0173540.5179220.8837070.241980.7123860.247750.856440.1168390.6864050.1118430.01960.00.6689420.98041.00.00.00.01.0
ore_ont_10309.owl,0.0490850.0747860.1536780.8584280.2613140.8909090.01.01.00.00.00.00.00.1802030.2688430.0914710.2623620.1985640.2472910.142940.00.00.3064471.01.00.00.00.00.0
ore_ont_15172.owl,0.7925650.0302810.0375620.0010210.4923155.91E-40.01.01.00.00.00.00.8571290.2120170.6264650.3251690.8547640.0467180.5728330.053360.40.00.1524320.61.00.00.01.01.0
ore_ont_253.owl,0.4658490.1206090.3406960.378120.5726570.494470.5281431.00.999730.4613760.0817750.00.5751850.2278070.5488750.1599140.5775860.1427950.5187750.1210220.0010.00.5445650.9991.00.00.00.01.0
ore_ont_1501.owl,0.5119780.1122980.2949640.4294330.6167880.5735230.5803011.01.00.00.00.00.00.2019990.6291990.0767770.5075080.1321940.6183980.1008640.00.00.6623111.01.00.00.00.00.0
ore_ont_3978.owl,0.3232840.1328510.318910.5628370.5216051.00.01.01.00.1147380.0038080.3688580.1024978.01E-40.1299620.0582990.310270.1611450.5003640.0288830.59190.00.4792590.40811.00.00.00.01.0
ore_ont_9854.owl,0.0719540.0753430.3376170.193630.2496680.1458330.01.01.00.00.00.00.00.226230.3055330.0746270.1694890.1149120.2332480.1084560.00.00.2121341.01.00.00.00.00.0
ore_ont_10314.owl,0.2964750.0310060.1166060.00.1852030.00.01.01.00.00.00.00.4563130.1919910.3075670.2687730.403070.0324980.215980.0372650.00.00.00.01.00.00.00.01.0
ore_ont_7394.owl,0.2428520.0853470.0984740.00.3685530.00.01.00.00.00.00.00.00.00.00.0068160.0895450.0976240.3577210.0285830.00.00.00.00.00.00.00.00.0
ore_ont_586.owl,0.2516180.0695910.3407620.7914440.3587460.00.00.1193570.226190.00.00.00.3653670.1887130.2959220.1672620.2874240.1180140.2428940.1338970.00.00.00.00.37040.62960.00.01.0
ore_ont_3671.owl,0.1060750.1018090.4017150.00.2951680.00.01.00.2666670.00.00.00.0512490.0909910.138880.2530270.233290.1686680.1468370.0289630.00.00.00.00.70240.29760.00.00.852349
ore_ont_1517.owl,0.4789010.0788170.3954060.1532970.5273470.0269220.1935450.8600240.8393440.3835120.0304290.4259080.5214520.1923760.5469750.0839660.3111710.0868350.511780.0657210.00.4790.3524910.16980.93980.06020.00.00.844444
ore_ont_2577.owl,0.6567720.1338370.2641010.0192250.70030.4268660.4741490.9996170.9997270.6579720.3132080.5953980.00.2097160.6972020.0842160.6666520.1598720.7019630.1298070.39670.00720.4528320.58511.00.00.01320.5099340.900356
ore_ont_5566.owl,0.7814780.1254030.3630670.1346010.7860380.460520.6449041.00.9999750.7192770.1977860.7070330.00.2668530.8141560.0923620.802340.1488970.8028390.1564420.01860.00.7546280.98141.00.00.00.00.772727
ore_ont_11282.owl,0.6623130.0348060.2081640.0307340.4987270.00.01.01.00.00.00.4350150.4793370.1837090.6882180.044480.7187760.0331580.6510090.0304020.29530.00.5079720.70471.00.00.00.2121210.777778
ore_ont_15355.owl,0.5472050.0396940.1512150.1351770.4615560.2039220.4437381.01.00.3683750.0155950.139530.6603850.2104630.5302590.1935350.6022020.0787240.4797810.0715580.02210.00.4496250.97791.00.00.00.2333331.0
ore_ont_1746.owl,0.1393660.028020.1455820.00.00.00.01.01.00.00.00.00.00.1901630.3350910.0428530.1834960.0243020.2438940.0278670.00.00.00.00.00.00.00.00.0
ore_ont_9577.owl,0.5573240.1659960.5034620.2511170.6695940.0669880.5261530.8264310.887860.5184140.0571880.5301060.547490.2473310.6410920.1454340.5302680.2109720.6389690.1267640.01150.05490.5314580.36140.92670.07330.02230.00.907657
ore_ont_13299.owl,0.4622290.0573960.3037110.046540.4721380.0815620.4857540.984710.9848890.3482360.0244360.2422920.2318270.2000050.5592170.0612970.4423520.0564040.5077230.0459090.24310.0110.3470860.45860.67460.32540.01180.00.918635
ore_ont_7256.owl,0.6803920.0292250.0142550.0042880.3364571.00.01.01.00.00.00.00.00.1908550.7037340.0435460.6113920.0258460.6608310.0289590.00.00.3955791.01.00.00.00.00.0
ore_ont_11572.owl,0.3719460.0397490.2638290.00.3402510.00.01.01.00.00.00.00.4916970.2034780.4569330.1046550.3258820.051330.3879130.0588590.00.00.00.00.00.00.00.00.0
ore_ont_6566.owl,0.3712830.1230060.4495950.2688280.5162410.4250620.4753211.00.8496670.00.00.00.00.2297480.5303540.0938570.4624170.1462370.4982440.1097910.00.00.4952761.01.00.00.00.00.0
ore_ont_7327.owl,0.3429580.0789170.3975080.1551680.4359550.0020750.00.8314160.8082670.2600170.0175820.186040.3569880.1804090.4589710.0675410.2378190.0838890.4176950.0616960.00.38710.0860590.01290.79070.20930.00.00.80117
ore_ont_7003.owl,0.1547750.1108020.2246350.00.3373190.00.01.00.00.00.00.00.00.00.00.1092050.3046470.0235460.2000350.0270.00.00.00.01.00.00.00.01.0
ore_ont_15575.owl,0.2933160.0778790.4056460.1301950.3985250.0037450.00.8607920.8282310.2451730.0226480.186040.3433890.1881810.4195760.0761390.2378190.075840.3652420.0576990.00.67650.0860590.02940.70970.29030.00.00.904
ore_ont_1342.owl,0.1412720.103370.406910.5165070.3438410.00.00.4572560.4035090.1030630.0074030.0737170.1896430.1721980.3082320.121850.1744310.1266640.2697080.0962820.05260.15790.00.00.79730.20270.01350.00.945205
ore_ont_1869.owl,0.2963450.0289180.224020.0027440.0463010.0026880.01.01.00.00.00.00.4380180.1879850.3954870.1029840.3120620.0260160.3142190.0293980.00.00.0542971.01.00.00.00.00.0
ore_ont_5404.owl,0.1947650.1160730.3707520.3656130.3985250.3775510.2277511.01.00.2673130.0744310.2811250.00.1845320.3528510.0648090.2399930.1415560.3191380.1210860.00.00.3360921.01.00.00.00.00.741935
ore_ont_6835.owl,0.7288880.2385340.4389090.3693010.8212380.706640.3950691.01.00.3830298.13E-40.7453960.8146030.1801350.4873990.616280.7193290.1447580.475060.1128130.26680.00.4724120.73321.00.00.00.120691.0
ore_ont_11389.owl,0.6818160.2935860.6363210.2597430.8233681.00.01.01.00.00.00.00.00.4812080.8270360.2094990.6564890.363970.8103090.4042950.00.00.7395991.01.00.00.00.00.0
ore_ont_11577.owl,0.2249960.212890.476420.00.4554160.00.01.01.00.00.00.00.1537460.08830.308890.1874360.3258820.0747480.3110240.0283440.00.00.00.01.00.00.00.01.0
ore_ont_8432.owl,0.5472850.0306540.0448156.48E-40.4906976.21E-40.01.01.00.133163.8E-50.00.8375010.2129520.6231610.2992270.8222760.0474750.5689910.0543430.00.00.1524321.01.00.00.00.3888891.0
ore_ont_3771.owl,0.4156970.0533160.3496930.00.4254950.00.01.01.00.00.00.00.4267190.2151910.5257550.0707410.2686340.058350.4629860.0597120.00.00.00.00.00.00.00.00.0
ore_ont_16746.owl,0.5348760.1758510.4668720.3788040.6750590.4116990.3506431.01.00.00.00.00.00.2417210.6568930.1143910.647360.2136450.6603710.1687270.5860.00.5954920.4141.00.00.00.129631.0
ore_ont_2513.owl,0.7313840.2784060.461210.6660940.8402480.00.00.8189161.00.00.00.00.8166830.0866050.4587630.6059090.8445750.1549450.5156160.0291540.29050.24710.5204390.46230.960.040.040.00.866667
ore_ont_1954.owl,0.5261370.1263460.3837030.00.6039560.00.01.01.00.00.00.00.5003520.2162070.6024720.1204890.6745960.1623860.5925840.0618810.00.00.00.00.00.00.00.00.0
ore_ont_7127.owl,0.7341010.1231670.4413340.2949090.7647280.1249420.6775051.00.999950.6384490.0913130.6185260.00.2186870.7748280.0918990.6540040.146020.7798180.1023340.45490.00.7472620.54511.00.00.04350.3043480.933333
ore_ont_12397.owl,0.4038150.0488090.3632280.0013940.4033160.0022430.01.01.00.00.00.00.00.2161890.5270910.0572670.2151020.051030.4605240.0583130.00.00.1085951.01.00.00.00.01.0
ore_ont_15917.owl,0.4323190.0602460.2688750.25640.530650.5325930.5477331.01.00.4999920.1227990.00.636440.2206330.5669990.1429970.5682790.11310.5308770.0982520.00.00.5391331.01.00.00.00.00.666667
ore_ont_6952.owl,0.7575690.1104950.2610120.4224310.781420.4546020.3667150.9945880.9798960.3191338.7E-40.00.00.0925040.7290470.0616050.759530.1298040.8054240.0317150.54370.00.7926590.44461.00.00.00.01.0
ore_ont_2011.owl,0.3561490.0367050.2771790.00.3076150.00.01.01.00.00.00.00.00.1993590.4869450.0479140.3491430.0354090.4161920.0406030.00.00.00.00.00.00.00.00.0
ore_ont_16197.owl,0.1393660.081110.3316680.0875950.2959680.0517240.0464150.9511620.9482760.00.00.00.3014780.1636610.2723280.1145680.2151020.0447490.1982380.0403250.00.16670.1085950.50.750.250.29170.00.980392
ore_ont_13759.owl,0.1455820.0294680.2883240.00.0463010.00.01.00.9849620.00.00.00.00.181990.3261090.0443980.1954460.0262860.2392880.0277810.00.00.00.00.52630.47370.00.00.761905
ore_ont_3133.owl,0.7437870.2827960.4586450.6516420.8504850.00.00.7694381.00.00.00.00.8260560.0916960.4644820.6273740.8548290.1579810.5182010.0310780.26540.32160.5113650.41290.96150.03850.03850.00.866667
ore_ont_13700.owl,0.4713010.0333320.265510.0225440.3504890.0115650.2795250.9929140.9733180.2642870.006810.2103910.2049950.1910880.5250380.0483170.4250550.1215890.5022960.0315670.1250.00.2807140.6250.8250.1750.20.00.80597
ore_ont_12379.owl,0.1656660.1482520.2635870.5269190.4211230.6496350.393021.01.00.00.00.00.00.2434980.4213010.1010190.3724510.1804790.3813810.1540880.00.00.4134591.01.00.00.00.01.0
ore_ont_4855.owl,0.1226140.0287680.0563280.00.00.00.01.01.00.00.00.00.00.1876290.322470.0414590.3343950.0252590.2315130.0289630.00.00.00.00.00.00.00.00.0
ore_ont_9896.owl,0.4095880.0485360.1958530.2689110.5114260.567590.5328281.01.00.4874360.0864180.00.6679990.2113990.5484590.1837850.6511380.1078330.5123910.0899630.00.00.5259521.01.00.00.00.00.666667
