Ontology,SOV,ENR,TIP,EOG,RCH,CYC,GCI,HGCI,ESUB,DSUB,CSUB,SUPECHN,SUBECHN,SUBCCHN,SUPDCHN,DSUPECHN,DSUBECHN,DSUBCCHN,DSUPDCHN,ELCLSPRT,ELAXPRT,HLC,RHLC,IHR,IIR,ITR,IND,aNOC,mNOC,tNOC,aCID,mCID,tCID,aCOD,mCOD,tCOD,aDIT,mDIT,tDIT,aNOP,mNOP,tNOP,ENUM,ENUMP,NEG,NEGP,CONJ,CONJP,DISJ,DISJP,UF,UFP,EF,EFP,VALUE,VALUEP,SELF,SELFP,MNCAR,MNCARP,MXCAR,MXCARP,CAR,CARP,OBP,OBPP,DTP,DTPP,FUN,FUNP,SYM,SYMP,TRN,TRNP,IFUN,IFUNP,ASYM,ASYMP,REFLE,REFLEP,IRREF,IRREFP,SUBP,EQVP,DISP,INV,DOMN,RANG,CHN,CHNP,ELPROP
ore_ont_10058.owl,5101,1.431253259,1030,2.401195334,0.14361831,2503,0,279,0.027084818,0,0,42,89,0,0,5,5,0,0,0.881056202,0.84495114,298,0.044391479,141,19,15,1285,1.019375151,51,4209,1.595543715,88,6588,1.485589731,9,6134,0,0,0,1.249212884,9,5158,0,0,0,0,0,0,2,0.0034,298,0.5025,102,0.172,188,0.317,0,0,0,0,0,0,3,0.0051,307,0.9137,29,0.0863,0,0,3,0.0089,4,0.0119,0,0,0,0,0,0,0,0,119,44,0,16,61,174,0,0,0.769892473
ore_ont_10068.owl,17567,1.08710949,12557,0.633958013,0.226134861,19756,0,0,0.245856996,0,0,11317,14804,0,0,14,13,0,0,1,1,0,0,0,0,0,180242,1.327060379,743,30111,9.496826796,101533,215483,1.77950639,10,40377,0,0,0,1.553371529,10,35246,0,0,0,0,0,0,0,0,0,0,5131,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ore_ont_10073.owl,15617,1.025986477,6933,0.22751672,0.130986857,12364,0,1496,0.03400543,0,0,713,1074,0,0,16,16,0,0,1,0.999916708,763,0.001584023,0,0,830,457670,1.251225217,2611,22467,27.04210292,425917,485568,1.688683448,13,30322,0,0,0,1.386054801,13,24888,0,0,0,0,1536,0.6531,0,0,0,0,816,0.3469,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,2,0.3333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.333333333,1
ore_ont_10080.owl,3827,5.692281766,1750,3.45459643,0.372715984,27912,0,489,0.256210886,0.009292623,0,2221,2721,1195,2,8,8,6,2,0.968062456,0.196538805,2305,0.080851661,1056,1669,351,161,0.935426645,64,5273,5.582224588,163,31467,5.90260777,165,33273,0,0,0,1.310271421,11,7386,5,0.0024,9,0.0043,810,0.3855,60,0.0286,82,0.039,1114,0.5302,12,0.0057,0,0,3,0.0014,1,0.0005,5,0.0024,124,0.9538,6,0.0462,7,0.0538,1,0.0077,14,0.1077,0,0,0,0,0,0,1,0,69,0,0,23,36,38,12,0.092307692,0.875621891
ore_ont_10088.owl,113,2.335403727,183,2.780616889,0.422018349,257,40,0,0.314553991,0,0,4,28,0,0,3,3,0,0,1,1,18,0.072,30,0,0,0,1.95412844,21,213,2.376146789,54,259,3.091743119,15,337,0,0,0,2.669724771,15,291,0,0,0,0,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,2,0.038461538,1
ore_ont_10109.owl,335,1.798039216,95,2.774312796,0.471264368,409,0,19,0.049056604,0,0,9,17,1,0,8,8,2,0,0.694524496,0.605351171,82,0.162376238,61,0,0,16,0.761494253,15,265,1.784482759,27,621,2.048850575,8,713,0,0,0,1.270114943,7,442,0,0,7,0.0427,44,0.2683,6,0.0366,36,0.2195,14,0.0854,3,0.0183,0,0,3,0.0183,5,0.0305,46,0.2805,87,0.6905,39,0.3095,2,0.0159,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,43,37,0,0,1
ore_ont_1012.owl,270951,2.274114327,236950,2.168747944,0.93191336,1007260,0,0,1,0,0,237119,262266,0,0,3,3,0,0,1,1,0,0,0,0,0,232982,0.470359722,25146,262258,2.269776476,25146,1265557,2.799208708,278,1560752,0,0,0,1.424968031,278,794518,0,0,0,0,243963,0.4695,0,0,0,0,275643,0.5305,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ore_ont_10123.owl,17304,1.056400363,681,0.611729034,0.12987013,1008,0,0,0.203052893,0,0,754,938,0,0,8,8,0,0,0.995939911,0.995030174,314,0.017472595,7,0,0,15133,1.143262987,200,2817,7.414772727,6466,18270,1.405844156,6,3464,0,0,0,1.275974026,6,3144,0,0,10,0.0312,0,0,0,0,0,0,310,0.9688,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,4,0,0,0,0,0.80952381
ore_ont_10125.owl,73505,1.110652542,69176,0.681531058,0.243578917,101121,0,285,0.2560336,0,0,73756,89865,0,0,19,18,0,0,1,0.999538361,14669,0.016463413,3957,0,8830,747998,1.468692715,2587,142613,9.422771931,410450,914970,1.9634817,13,190658,0,0,0,1.712395213,13,166277,0,0,0,0,285,0.012,0,0,0,0,23367,0.988,0,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,7,0.1707,0,0,0,0,0,0,0,0,12,0,0,0,11,9,12,0.292682927,1
ore_ont_10127.owl,21583,4.700330486,8,3.034546457,0.632392115,95638,0,488,0,0,0,0,0,0,0,0,0,0,0,0.84434968,1,0,0,0,23506,13992,20902,0.370804475,571,696,36.52956846,20944,68566,2.10761854,4,3956,0,0,0,1.003729355,2,1884,0,0,0,0,354,0.2982,0,0,292,0.246,541,0.4558,0,0,0,0,0,0,0,0,0,0,21,0.9545,1,0.0455,1,0.0455,0,0,3,0.1364,0,0,0,0,0,0,0,0,1,0,0,2,4,4,0,0,0.866666667
ore_ont_10133.owl,636,1.595146871,321,2.526154755,0.18797954,466,0,0,0.697160883,0,0,487,662,0,0,5,5,0,0,1,1,0,0,0,0,0,0,1.216112532,92,951,1.404092072,92,1098,1.597186701,6,1249,0,0,0,1.409207161,6,1102,0,0,0,0,0,0,0,0,0,0,147,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ore_ont_10134.owl,1548,1.265523359,221,2.233141965,0.085017836,449,0,46,0.09453303,0,0,122,167,0,0,4,4,0,0,1,0.998891353,12,0.006640841,0,0,22,0,1.043995244,76,1756,1.18549346,78,1994,1.272294887,5,2140,0,0,0,1.130796671,4,1902,0,0,0,0,46,0.3217,0,0,0,0,97,0.6783,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,3,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ore_ont_10136.owl,27083,1.208019742,29637,1.107722125,0.267251684,40549,0,523,0.213115913,0,0,20642,27701,0,0,11,11,0,0,1,0.999929984,12063,0.056050405,3762,0,6034,157995,1.537736362,757,56601,6.127091937,77911,225526,2.102206042,8,77378,0,0,0,1.805151054,8,66444,0,0,0,0,523,0.0532,0,0,0,0,9314,0.9468,0,0,0,0,0,0,0,0,0,0,116,1,0,0,1,0.0086,2,0.0172,22,0.1897,0,0,0,0,0,0,0,0,56,0,0,11,0,0,30,0.25862069,0.893442623
ore_ont_10140.owl,83048,2.443146378,82316,2.194740564,0.40187138,200415,0,30359,0.394120452,0,0,6526,11836,0,0,15,15,0,0,0.995317914,0.989997236,1835,0.010566746,0,0,3488,0,1.020456968,22275,141668,1.870868989,38394,259729,2.44333996,106,339204,0,0,0,1.59292794,43,221143,0,0,0,0,30337,0.5438,26,0.0005,0,0,24804,0.4446,0,0,0,0,1,0,1,0,622,0.0111,11,1,0,0,0,0,0,0,6,0.5455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ore_ont_10146.owl,2309,1.353383459,221,1.868621263,0.08685259,893,0,193,0.009561753,0,0,0,0,0,0,0,0,0,0,1,0.978284473,4,0.001433692,195,0,195,0,1,886,2510,1.273306773,886,3196,1.352988048,4,3396,0,0,0,1.087649402,4,2730,0,0,0,0,193,0.8853,0,0,0,0,25,0.1147,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,3,0.1765,0,0,0,0,0,0,0,0,4,0,0,0,11,9,0,0,1
ore_ont_1016.owl,3501,2.073117558,1425,2.85724775,0.443603604,6437,0,670,0.289086967,0,0,1198,1895,643,0,10,10,7,0,1,1,1593,0.276035349,3335,0,163,0,0.747927928,77,4151,1.643783784,85,9123,2.152432432,14,11946,0,0,0,1.256576577,14,6974,0,0,0,0,1262,0.5126,0,0,0,0,1200,0.4874,0,0,0,0,0,0,0,0,0,0,413,1,0,0,150,0.3632,0,0,26,0.063,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,1
ore_ont_10160.owl,1273,1.975623583,1062,2.840596992,0.27977208,1721,0,71,0.399741824,0,0,1486,1883,0,0,11,11,0,0,1,0.985191279,0,0,0,0,0,0,1.324216524,62,2324,1.705413105,66,2993,1.985754986,7,3485,0,0,0,1.604558405,4,2816,0,0,0,0,71,0.1446,0,0,0,0,420,0.8554,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,3,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ore_ont_10161.owl,37381,13.40180392,658063,4.665827463,0.313333578,675117,2,0,0.999997052,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12.46250505,9705,678384,12.77587537,9705,695442,13.40254253,326,729554,0,0,0,13.08917221,326,712496,0,0,0,0,2,0.0001,0,0,0,0,17054,0.9999,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ore_ont_10162.owl,586,1.773167358,424,2.570500977,0.189750693,559,0,0,0.194637537,0,0,371,508,0,0,18,18,0,0,1,1,0,0,0,0,0,0,1.394736842,26,1007,1.584487535,26,1144,1.775623269,5,1282,0,0,0,1.585872576,5,1145,0,0,0,0,0,0,0,0,0,0,137,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ore_ont_1017.owl,1187,1.558558559,504,2.65550899,0.236469072,868,0,0,0.700059277,0,0,1448,1577,0,0,10,10,0,0,1,1,0,0,0,0,0,0,1.086984536,25,1687,1.323453608,25,2054,1.56056701,6,2422,0,0,0,1.324097938,6,2055,0,0,0,0,0,0,0,0,0,0,367,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ore_ont_10173.owl,4847,1.500828272,832,2.511860399,0.148492533,2737,0,251,0.02701942,0,0,17,31,0,0,5,5,0,0,0.875986471,0.83828045,389,0.056887979,580,18,15,1232,1.001127078,53,3553,1.628346013,90,5779,1.475063398,9,5235,0,0,0,1.234150465,9,4380,0,0,0,0,0,0,2,0.0038,246,0.4668,87,0.1651,178,0.3378,0,0,5,0.0095,0,0,9,0.0171,501,0.94,32,0.06,0,0,3,0.0056,7,0.0131,0,0,0,0,0,0,0,0,308,47,0,10,73,184,0,0,0.842415317
ore_ont_10174.owl,134,1,1,1.415266365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.992537313,15,133,0.992537313,15,133,1,2,134,0,0,0,1,2,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ore_ont_10175.owl,39021,2.348496927,41652,2.858107599,0.351994285,81197,0,9163,0.194812602,0,0,26867,36421,0,0,11,11,0,0,1,1,0,0,0,0,0,0,1.339884047,632,80657,1.996926757,7351,120209,2.348954267,12,141400,0,0,0,1.691911557,12,101848,0,0,0,0,9163,0.4324,0,0,0,0,12026,0.5676,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,3,0.2308,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
ore_ont_10176.owl,175,2.073490814,0,1.644394139,0.544973545,409,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.092592593,103,413,2.08994709,3,790,0,0,0,0.997354497,1,377,0,0,0,0,103,0.5,0,0,0,0,103,0.5,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ore_ont_10197.owl,6378,1.98589199,211,2.169850915,0.415533981,6501,0,8,0.006024096,0,0,0,0,0,0,0,0,0,0,0.589494163,0.583003953,0,0,0,2961,0,4297,0.966990291,182,498,9.673786408,1493,4982,1.815533981,3,935,0,0,0,1.40776699,3,725,0,0,0,0,0,0,0,0,0,0,3,0.014,207,0.9673,0,0,3,0.014,0,0,1,0.0047,27,0.587,19,0.413,0,0,2,0.0435,0,0,0,0,0,0,0,0,0,0,13,0,0,9,21,37,0,0,0.865853659
ore_ont_10199.owl,133,2.662420382,46,3.213603392,0.393442623,263,0,0,1,0,0,4,24,0,0,3,2,0,0,1,1,48,0.142857143,48,0,0,57,0.786885246,2,48,2.721311475,38,166,2.131147541,24,130,0,0,0,1.737704918,24,106,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,36,36,0,0,1
ore_ont_10212.owl,2215,4.279272152,2,3.360534808,0.54338843,9114,0,125,0,0,0,0,0,0,0,0,0,0,0,0.884057971,1,0,0,0,2317,1432,1970,0.45661157,162,221,14.14256198,2082,6845,1.97107438,4,954,0,0,0,1.002066116,2,485,0,0,0,0,71,0.27,0,0,56,0.2129,136,0.5171,0,0,0,0,0,0,0,0,0,0,22,0.9565,1,0.0435,1,0.0435,0,0,3,0.1304,0,0,0,0,0,0,0,0,1,0,0,2,4,4,0,0,0.866666667
ore_ont_10230.owl,563,1.400311526,79,2.158248063,0.759615385,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233009709,0.223300971,0,0,0,0,0,162,0.980769231,19,102,3.432692308,83,357,1.759615385,16,183,0,0,0,1.75,16,182,0,0,0,0,0,0,0,0,0,0,0,0,21,0.2658,0,0,0,0,4,0.0506,54,0.6835,27,0.4154,38,0.5846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,0,0,1
ore_ont_10242.owl,5544,1.512401884,1539,2.515773577,0.180057231,4328,399,0,0.195387841,0,0,239,355,0,0,3,3,0,0,0.967357742,0.949266247,308,0.041498248,763,0,0,1290,1.049966982,77,4770,1.481620075,89,6731,1.532027295,9,6960,0,0,0,1.338542813,9,6081,148,0.1809,0,0,61,0.0746,0,0,0,0,609,0.7445,0,0,0,0,0,0,0,0,0,0,537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,8,0.014897579,1
ore_ont_10248.owl,44867,2.441357592,73187,2.851865696,0.300558206,102945,0,0,0.407678493,0,0,79257,107656,0,0,19,18,0,0,1,1,3348,0.028361825,0,0,3348,0,1.840537001,5337,118041,2.141095207,5337,137317,2.44170019,28,156596,0,0,0,2.141141984,28,137320,0,0,0,0,0,0,0,0,0,0,19276,1,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,2,0.2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ore_ont_10254.owl,2864,1.912792225,2533,2.763186835,0.247501315,3475,0,0,0.458456973,0,0,3857,4849,0,0,14,14,0,0,1,0.999814574,2467,0.4571058,0,0,2467,0,1.418200947,212,5392,1.665965281,212,6334,1.913729616,9,7276,0,0,0,1.665965281,9,6334,0,0,0,0,0,0,0,0,0,0,941,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0.8,1
ore_ont_10264.owl,133,1.872180451,0,1.371350719,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.046875,62,131,0.984375,1,63,0,0,0,0.984375,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,62,62,0,0,1
ore_ont_10270.owl,5008,1.494001791,866,2.4989614,0.148691938,2775,0,284,0.033333333,0,0,17,31,0,0,5,5,0,0,0.881975968,0.845742092,387,0.055811941,558,18,15,1171,0.993059263,53,3720,1.591831287,90,5963,1.476508275,9,5531,0,0,0,1.230912974,9,4611,0,0,0,0,0,0,2,0.0036,258,0.4632,115,0.2065,168,0.3016,0,0,5,0.009,0,0,9,0.0162,512,0.9394,33,0.0606,0,0,3,0.0055,7,0.0128,0,0,0,0,0,0,0,0,310,47,0,10,74,193,0,0,0.845151954
ore_ont_10275.owl,1694,1.10996059,534,0.791262908,0.22217047,1423,0,196,0.215981735,0,0,526,630,0,0,7,7,0,0,1,0.991275447,168,0.012731131,4,0,171,10772,1.020027946,89,2190,6.458313926,4768,13866,1.669306008,8,3584,0,0,0,1.248253377,6,2680,0,0,0,0,196,0.4109,0,0,0,0,281,0.5891,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,4,0.1818,5,0.2273,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.764705882
ore_ont_1028.owl,7419,2.825551752,13015,3.080254877,0.461696507,25415,93,2629,0.439575033,0,0.004574295,16930,18954,0,0,26,26,0,0,0.998238791,0.987726627,21989,0.943855432,1722,9723,9379,0,1.491855004,516,20331,2.376284121,517,32384,2.839374817,18,38695,0,0,0,1.9549457,15,26642,0,0,0,0,2673,0.4248,14,0.0022,0,0,3595,0.5714,0,0,0,0,0,0,0,0,10,0.0016,101,1,0,0,0,0,0,0,15,0.1485,0,0,0,0,0,0,0,0,51,0,0,10,0,0,36,0.356435644,0.910714286
ore_ont_10280.owl,11595,1.000172488,3,1.423573183,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.739284174,78,8572,0.739284174,78,8572,1.000172488,2,11597,0,0,0,1.000172488,2,11597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ore_ont_10283.owl,1471,0.99932019,0,1.282144473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.991842284,19,1459,0.991842284,19,1459,0.99932019,1,1470,0,0,0,0.99932019,1,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ore_ont_10285.owl,262,1.580327869,1,2.695090264,0.235955056,187,0,20,0,0,0,0,0,0,0,0,0,0,0,0.97740113,0.924242424,2,0.005524862,18,18,2,30,0.578651685,15,103,1.353932584,15,241,1.528089888,4,272,0,0,0,1,2,178,0,0,0,0,21,0.5,1,0.0238,0,0,17,0.4048,0,0,0,0,0,0,1,0.0238,2,0.0476,70,0.9091,7,0.0909,3,0.039,5,0.0649,12,0.1558,0,0,0,0,0,0,0,0,65,0,0,34,3,4,2,0.025974026,0.6953125
ore_ont_10309.owl,60,1.449541284,50,0.972747597,0.816666667,49,49,0,0.890909091,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.916666667,37,55,1.733333333,49,104,2.633333333,3,158,0,0,0,1.816666667,2,109,0,0,0,0,0,0,0,0,0,0,49,1,0,0,0,0,0,0,0,0,0,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ore_ont_10314.owl,757,1.019815059,6,0.738258472,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,478,1,6,99,7.747474747,280,767,1.050505051,2,104,0,0,0,1.050505051,2,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,1
ore_ont_10320.owl,553,1.518456376,67,2.619145583,0.117166213,311,0,26,0.005617978,0,0,0,0,0,0,0,0,0,0,0.887978142,0.818639798,0,0,0,0,0,103,0.970027248,16,356,1.583106267,36,581,1.38147139,5,507,0,0,0,1.179836512,4,433,0,0,0,0,0,0,1,0.0233,26,0.6047,2,0.0465,12,0.2791,0,0,0,0,0,0,2,0.0465,48,0.6857,22,0.3143,0,0,1,0.0143,6,0.0857,0,0,0,0,0,0,0,0,15,3,0,5,23,37,0,0,0.870967742
ore_ont_10321.owl,67,1.146666667,1,2.120344147,0.363636364,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619047619,0,0,0,0,0,0,4,0.318181818,1,7,1.863636364,7,41,1.136363636,3,25,0,0,0,1,2,22,0,0,0,0,0,0,1,0.125,0,0,0,0,0,0,0,0,2,0.25,0,0,5,0.625,12,0.2727,32,0.7273,25,0.5682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,40,0,0,1
